TIME,CH2
-0.001352,3.28
-0.00133728,3.28
-0.00133725,3.36
-0.00133722,3.2
-0.00133718,3.28
-0.00133024,3.28
-0.00133021,3.36
-0.00133018,3.2
-0.00133014,3.28
-0.00131917,3.28
-0.00131914,3.2
-0.0013191,3.36
-0.00131907,3.36
-0.00131904,3.2
-0.00131901,3.44
-0.00131898,3.28
-0.00124352,3.28
-0.00124349,3.36
-0.00124346,3.36
-0.00124342,3.28
-0.00124189,3.28
-0.00124186,3.2
-0.00124182,3.2
-0.00124179,3.28
-0.00122592,3.28
-0.00122589,3.36
-0.00122576,3.36
-0.00122573,3.28
-0.00121392,3.28
-0.00121389,3.36
-0.00121386,3.36
-0.00121382,3.28
-0.00119798,3.28
-0.00119795,3.36
-0.00119792,3.2
-0.00119789,3.2
-0.00119786,3.28
-0.00119149,3.28
-0.00119146,3.2
-0.00119142,3.36
-0.00119139,3.28
-0.00117728,3.28
-0.00117725,3.36
-0.00117722,3.36
-0.00117718,3.28
-0.00117149,3.28
-0.00117146,3.36
-0.00117142,3.36
-0.00117139,3.28
-0.00117078,3.28
-0.00117075,3.2
-0.00117072,3.2
-0.00117069,3.28
-0.00116189,3.28
-0.00116186,3.2
-0.00116182,3.2
-0.00116179,3.28
-0.00112707,3.28
-0.00112704,3.36
-0.00112701,3.36
-0.00112698,3.2
-0.00112694,3.28
-0.00112666,3.28
-0.00112662,3.36
-0.00112659,3.36
-0.00112656,3.28
-0.0011145,3.28
-0.00111446,3.36
-0.00111443,3.36
-0.0011144,3.28
-0.00110221,3.28
-0.00110218,3.2
-0.00110214,3.36
-0.00110211,3.28
-0.00110208,3.2
-0.00110205,3.2
-0.00110202,3.28
-0.00109466,3.28
-0.00109462,3.2
-0.00109459,3.2
-0.00109456,3.28
-0.00108947,3.28
-0.00108944,3.36
-0.00108941,3.36
-0.00108938,3.28
-0.00107142,3.28
-0.00107139,3.2
-0.00107136,3.36
-0.00107133,3.28
-0.00105885,3.28
-0.00105882,3.36
-0.00105878,3.2
-0.00105875,3.28
-0.00105808,3.28
-0.00105805,3.36
-0.00105802,3.2
-0.00105798,3.28
-0.00105037,3.28
-0.00105034,3.36
-0.0010503,3.2
-0.00105027,3.28
-0.00104858,3.28
-0.00104854,3.36
-0.00104851,3.2
-0.00104848,3.28
-0.00103946,3.28
-0.00103942,3.36
-0.00103939,3.36
-0.00103936,3.28
-0.00103725,3.28
-0.00103722,3.36
-0.00103718,3.36
-0.00103715,3.28
-0.000984768,3.28
-0.000984736,3.36
-0.000984704,3.36
-0.000984672,3.28
-0.000918624,3.28
-0.000918592,3.36
-0.00091856,3.36
-0.000918528,3.28
-0.000889792,3.28
-0.00088976,3.36
-0.000889728,3.36
-0.000889696,3.28
-0.000869952,3.28
-0.00086992,3.2
-0.000869888,3.36
-0.000869856,3.28
-0.000849952,3.28
-0.00084992,3.2
-0.000849888,3.36
-0.000849856,3.2
-0.000849824,3.28
-0.000849408,3.28
-0.000849376,3.2
-0.000849344,3.36
-0.000849312,3.28
-0.000845344,3.28
-0.000845312,3.2
-0.00084528,3.2
-0.000845248,3.28
-0.000839872,3.28
-0.00083984,3.36
-0.000839808,3.36
-0.000839776,3.2
-0.000839744,3.28
-0.00083104,3.28
-0.000831008,3.36
-0.000830912,3.36
-0.00083088,3.28
-0.000812064,3.28
-0.000812032,3.2
-0.000812,3.36
-0.000811968,3.28
-0.000810784,3.28
-0.000810752,3.36
-0.00081072,3.2
-0.000810688,3.36
-0.000810656,3.28
-0.00081008,3.28
-0.000810048,3.36
-0.000810016,3.2
-0.000809984,3.28
-0.000780992,3.28
-0.00078096,3.36
-0.000780928,3.36
-0.000780896,3.28
-0.000770272,3.28
-0.00077024,3.36
-0.000770208,3.36
-0.000770176,3.28
-0.000764096,3.28
-0.000764064,3.36
-0.000764032,3.2
-0.000764,3.28
-0.000754912,3.28
-0.00075488,3.2
-0.000754848,3.2
-0.000754816,3.28
-0.000746496,3.28
-0.000746464,3.2
-0.000746432,3.2
-0.0007464,3.28
-0.000744352,3.28
-0.00074432,3.2
-0.000744224,3.2
-0.000744192,3.28
-0.000708832,3.28
-0.0007088,3.36
-0.000708768,3.2
-0.000708736,3.28
-0.000696,3.28
-0.000695968,3.2
-0.000695936,3.36
-0.000695904,3.28
-0.00069184,3.28
-0.000691808,3.2
-0.000691776,3.36
-0.000691744,3.28
-0.000687584,3.28
-0.000687552,3.2
-0.00068752,3.36
-0.000687488,3.28
-0.0006792,3.28
-0.000679168,3.2
-0.000679136,3.36
-0.000679104,3.28
-0.000668544,3.28
-0.000668512,3.2
-0.00066848,3.36
-0.000668448,3.2
-0.000668416,3.28
-0.000655808,3.28
-0.000655776,3.2
-0.000655744,3.2
-0.000655712,3.28
-0.000644704,3.28
-0.000644672,3.2
-0.00064464,3.2
-0.000644608,3.28
-0.000634304,3.28
-0.000634272,3.2
-0.00063424,3.36
-0.000634208,3.28
-0.000625248,3.28
-0.000625216,3.36
-0.000625184,3.36
-0.000625152,3.28
-0.000622944,3.28
-0.000622912,3.2
-0.00062288,3.36
-0.000622848,3.28
-0.00059872,3.28
-0.000598688,3.36
-0.000598656,3.2
-0.000598624,3.28
-0.00058848,3.28
-0.000588448,3.36
-0.000588352,3.36
-0.00058832,3.28
-0.000552928,3.28
-0.000552896,3.36
-0.000552864,3.2
-0.000552832,3.28
-0.000550656,3.28
-0.000550624,3.2
-0.000550592,3.2
-0.00055056,3.28
-0.000518624,3.28
-0.000518592,3.2
-0.00051856,3.36
-0.000518528,3.28
-0.000514496,3.28
-0.000514464,3.2
-0.000514432,3.36
-0.0005144,3.2
-0.000514368,3.2
-0.000514336,3.36
-0.000514304,3.2
-0.000514272,3.28
-0.000506208,3.28
-0.000506176,3.36
-0.000506144,3.2
-0.000506112,3.28
-0.000506048,3.28
-0.000506016,3.2
-0.000505984,3.36
-0.000505952,3.28
-0.000495872,3.28
-0.00049584,3.2
-0.000495808,3.2
-0.000495776,3.28
-0.000493984,3.28
-0.000493952,3.2
-0.00049392,3.2
-0.000493888,3.28
-0.000493536,3.28
-0.000493504,3.2
-0.000493472,3.2
-0.00049344,3.28
-0.000493152,3.28
-0.00049312,3.2
-0.000493088,3.2
-0.000493056,3.28
-0.00048624,3.28
-0.000486208,3.36
-0.000486176,3.36
-0.000486144,3.28
-0.000480832,3.28
-0.0004808,3.2
-0.000480768,3.36
-0.000480736,3.28
-0.00045168,3.28
-0.000451648,3.2
-0.000451616,3.2
-0.000451584,3.28
-0.000448096,3.28
-0.000448064,3.2
-0.000448032,3.36
-0.000448,3.28
-0.000444992,3.28
-0.00044496,3.2
-0.000444928,3.2
-0.000444896,3.28
-0.000443456,3.28
-0.000443424,3.2
-0.000443328,3.2
-0.000443296,3.28
-0.000422464,3.28
-0.000422432,3.36
-0.0004224,3.36
-0.000422368,3.28
-0.000395008,3.28
-0.000394976,3.2
-0.000394944,3.2
-0.000394912,3.28
-0.000394656,3.28
-0.000394624,3.2
-0.000394464,3.2
-0.000394432,3.28
-0.00038688,3.28
-0.000386848,3.2
-0.000386816,3.2
-0.000386784,3.28
-0.000382688,3.28
-0.000382656,3.36
-0.000382624,3.2
-0.000382592,3.28
-0.000364832,3.28
-0.0003648,3.2
-0.000364768,3.2
-0.000364736,3.28
-0.000360512,3.28
-0.00036048,3.2
-0.000360448,3.36
-0.000360416,3.28
-0.000350016,3.28
-0.000349984,3.36
-0.000349952,3.2
-0.00034992,3.28
-0.000346688,3.28
-0.000346656,3.2
-0.000346624,3.2
-0.000346592,3.28
-0.000325152,3.28
-0.00032512,3.36
-0.000325088,3.36
-0.000325056,3.28
-0.000318912,3.28
-0.00031888,3.36
-0.000318848,3.36
-0.000318816,3.28
-0.000301088,3.28
-0.000301056,3.2
-0.000301024,3.2
-0.000300992,3.36
-0.00030096,3.28
-0.000292672,3.28
-0.00029264,3.36
-0.000292608,3.2
-0.000292576,3.2
-0.000292544,3.36
-0.000292512,3.2
-0.00029248,3.28
-0.000254624,3.28
-0.000254592,3.2
-0.00025456,3.2
-0.000254528,3.28
-0.000217376,3.28
-0.000217344,3.2
-0.000217312,3.2
-0.00021728,3.28
-0.00020832,3.28
-0.000208288,1.6
-0.000208256,0.32
-0.000208224,0.16
-0.000208192,0.24
-0.00020816,0
3.2e-08,0
6.4e-08,2.88
9.6e-08,2.64
1.28e-07,2.96
1.6e-07,3.04
1.92e-07,3.04
2.24e-07,3.12
2.56e-07,3.2
4.48e-07,3.2
4.8e-07,3.28
9.28e-07,3.28
9.6e-07,3.2
9.92e-07,3.2
1.024e-06,3.28
1.12e-06,3.28
1.152e-06,3.2
1.184e-06,3.2
1.216e-06,3.28
5.248e-06,3.28
5.28e-06,3.2
5.312e-06,3.36
5.344e-06,3.28
6.88e-06,3.28
6.912e-06,3.36
6.944e-06,3.2
6.976e-06,3.28
2.4576e-05,3.28
2.4608e-05,3.36
2.464e-05,3.2
2.4672e-05,3.28
3.0112e-05,3.28
3.0144e-05,3.2
3.0176e-05,3.36
3.0208e-05,3.28
3.1712e-05,3.28
3.1744e-05,3.36
3.1776e-05,3.36
3.1808e-05,3.28
6.5344e-05,3.28
6.5376e-05,3.36
6.5408e-05,3.36
6.544e-05,3.28
8.384e-05,3.28
8.3872e-05,3.2
8.3904e-05,3.36
8.3936e-05,3.28
8.4416e-05,3.28
8.4448e-05,3.36
8.448e-05,3.36
8.4512e-05,3.28
0.000105824,3.28
0.000105856,3.2
0.000105888,3.2
0.00010592,3.28
0.00010624,3.28
0.000106272,3.2
0.000106304,3.2
0.000106336,3.28
0.000128192,3.28
0.000128224,3.36
0.000128256,3.36
0.000128288,3.28
0.00013456,3.28
0.000134592,3.36
0.000134624,3.2
0.000134656,3.28
0.000139104,3.28
0.000139136,3.36
0.000139168,3.36
0.0001392,3.28
0.000141824,3.28
0.000141856,3.36
0.000141888,3.2
0.00014192,3.28
0.00015168,3.28
0.000151712,3.36
0.000151744,3.2
0.000151776,3.28
0.00017088,3.28
0.000170912,3.36
0.000170944,3.36
0.000170976,3.28
0.000183264,3.28
0.000183296,3.2
0.000183328,3.36
0.00018336,3.28
0.000193728,3.28
0.00019376,3.36
0.000193792,3.36
0.000193824,3.28
0.000196512,3.28
0.000196544,3.36
0.000196576,3.36
0.000196608,3.28
0.000196928,3.28
0.00019696,3.36
0.000196992,3.36
0.000197024,3.28
0.000197792,3.28
0.000197824,3.36
0.000197856,3.36
0.000197888,3.28
0.0002088,3.28
0.000208832,3.36
0.000208864,3.36
0.000208896,3.28
0.000216576,3.28
0.000216608,3.36
0.00021664,3.36
0.000216672,3.28
0.000220672,3.28
0.000220704,3.2
0.000220736,3.36
0.000220768,3.36
0.0002208,3.28
0.000224544,3.28
0.000224576,3.2
0.000224608,3.36
0.00022464,3.28
0.00027344,3.28
0.000273472,3.2
0.000273504,3.2
0.000273536,3.28
0.000282784,3.28
0.000282816,3.36
0.000282848,3.2
0.00028288,3.28
0.000286016,3.28
0.000286048,3.2
0.00028608,3.36
0.000286112,3.28
0.00030672,3.28
0.000306752,3.2
0.000306784,3.36
0.000306816,3.28
0.000313824,3.28
0.000313856,3.2
0.000313888,3.36
0.00031392,3.28
0.00032192,3.28
0.000321952,3.36
0.000321984,3.36
0.000322016,3.28
0.000390112,3.28
0.000390144,3.2
0.000390176,3.36
0.000390208,3.28
0.0004416,3.28
0.000441632,3.2
0.000441664,3.2
0.000441696,3.28
0.000472512,3.28
0.000472544,3.36
0.000472576,3.2
0.000472608,3.28
0.000479872,3.28
0.000479904,3.2
0.000479936,3.2
0.000479968,3.28
0.000481376,3.28
0.000481408,3.2
0.00048144,3.36
0.000481472,3.28
0.000501056,3.28
0.000501088,3.36
0.00050112,3.36
0.000501152,3.28
0.00051616,3.28
0.000516192,3.36
0.000516224,3.36
0.000516256,3.28
0.00053152,3.28
0.000531552,3.2
0.000531584,3.36
0.000531616,3.28
0.00053424,3.28
0.000534272,3.36
0.000534304,3.36
0.000534336,3.28
0.00053568,3.28
0.000535712,3.2
0.000535744,3.36
0.000535776,3.28
0.000544128,3.28
0.00054416,3.36
0.000544192,3.36
0.000544224,3.28
0.000607072,3.28
0.000607104,3.2
0.000607136,3.2
0.000607168,3.28
0.000621056,3.28
0.000621088,3.2
0.00062112,3.36
0.000621152,3.28
0.00062224,3.28
0.000622272,3.36
0.000622304,3.36
0.000622336,3.28
0.000673536,3.28
0.000673568,3.2
0.0006736,3.36
0.000673664,3.36
0.000673696,3.28
0.000677728,3.28
0.00067776,3.36
0.000677792,3.2
0.000677856,3.2
0.000677888,3.28
0.000709024,3.28
0.000709056,3.2
0.000709088,3.2
0.00070912,3.28
0.000712,3.28
0.000712032,3.36
0.000712064,3.2
0.000712096,3.28
0.00071728,3.28
0.000717312,3.2
0.000717344,3.2
0.000717376,3.28
0.000720032,3.28
0.000720064,3.36
0.000720096,3.2
0.000720128,3.28
0.000728352,3.28
0.000728384,3.2
0.000728416,3.36
0.000728448,3.28
0.000732064,3.28
0.000732096,3.2
0.000732128,3.2
0.00073216,3.28
0.000742816,3.28
0.000742848,3.36
0.00074288,3.36
0.000742912,3.28
0.000752,3.28
0.000752032,3.2
0.000752064,3.36
0.000752096,3.28
0.0007816,3.28
0.000781632,3.2
0.000781664,3.36
0.000781696,3.28
0.00080688,3.28
0.000806912,3.36
0.000806944,3.2
0.000807008,3.2
0.00080704,3.28
0.00082688,3.28
0.000826912,3.36
0.000826944,3.36
0.000826976,3.28
0.000849504,3.28
0.000849536,3.36
0.000849568,3.2
0.0008496,3.28
0.000861248,3.28
0.00086128,3.36
0.000861312,3.2
0.000861344,3.36
0.000861376,3.28
0.000861408,3.28
0.00086144,3.36
0.000861472,3.2
0.000861504,3.28
0.00086496,3.28
0.000864992,3.36
0.000865024,3.36
0.000865056,3.28
0.000871616,3.28
0.000871648,3.36
0.00087168,3.36
0.000871712,3.28
0.00087424,3.28
0.000874272,3.36
0.000874304,3.36
0.000874336,3.28
0.000884512,3.28
0.000884544,3.36
0.000884576,3.36
0.000884608,3.28
0.000891904,3.28
0.000891936,3.2
0.000891968,3.36
0.000892,3.28
0.000899936,3.28
0.000899968,3.36
0.0009,3.2
0.000900032,3.28
0.000909536,3.28
0.000909568,3.36
0.0009096,3.2
0.000909632,3.28
0.00093584,3.28
0.000935872,3.2
0.000935904,3.2
0.000935936,3.28
0.000959328,3.28
0.00095936,3.36
0.000959392,3.2
0.000959424,3.28
0.000960704,3.28
0.000960736,3.36
0.000960768,3.2
0.0009608,3.28
0.000961472,3.28
0.000961504,3.36
0.000961536,3.2
0.000961568,3.28
0.00102038,3.28
0.00102042,3.36
0.00102045,3.2
0.00102048,3.28
0.00103939,3.28
0.00103942,3.36
0.00103946,3.36
0.00103949,3.28
0.0010505,3.28
0.00105053,3.36
0.00105056,3.36
0.00105059,3.2
0.00105062,3.28
0.001072,3.28
0.00107203,3.36
0.00107206,3.36
0.0010721,3.28
0.00108653,3.28
0.00108656,3.36
0.00108659,3.36
0.00108662,3.28
0.00109987,3.28
0.0010999,3.36
0.00109994,3.2
0.00109997,3.28
0.0011384,3.28
0.00113843,3.36
0.00113846,3.2
0.0011385,3.28
0.00115078,3.28
0.00115082,3.2
0.00115085,3.36
0.00115088,3.28
0.00116742,3.28
0.00116746,3.2
0.00116749,3.2
0.00116752,3.28
0.00119133,3.28
0.00119136,3.36
0.00119139,3.2
0.00119142,3.28
0.00119651,3.28
0.00119654,3.36
0.00119658,3.2
0.00119661,3.28
0.0012007,3.28
0.00120074,3.36
0.00120077,3.2
0.0012008,3.28
0.00120224,3.28
0.00120227,3.36
0.0012023,3.2
0.00120234,3.28
0.00120912,3.28
0.00120915,3.2
0.00120918,3.36
0.00120922,3.2
0.00120925,3.2
0.00120928,3.28
0.00122266,3.28
0.00122269,3.2
0.00122272,3.36
0.00122275,3.28
0.00122781,3.28
0.00122784,3.2
0.00122787,3.36
0.0012279,3.28
0.00123923,3.28
0.00123926,3.2
0.0012393,3.36
0.00123933,3.28
0.00125594,3.28
0.00125597,3.36
0.001256,3.2
0.00125603,3.28
