TIME,CH3,CH3 Peak Detect
-3.40000e-05,0.04,0.06
-3.39920e-05,0.06,0.02
-3.39840e-05,0.04,0.06
-3.39760e-05,0.02,0.02
-3.39680e-05,0.04,0.06
-3.39600e-05,0.06,0.02
-3.39520e-05,0.06,0.04
-3.39440e-05,0.06,0.02
-3.39360e-05,0.04,0.06
-3.39280e-05,0.06,-3.33786e-08
-3.39200e-05,0.02,0.06
-3.39120e-05,0.04,0.02
-3.39040e-05,0.04,0.06
-3.38960e-05,0.04,0.02
-3.38880e-05,0.02,0.04
-3.38800e-05,0.04,0.02
-3.38720e-05,0.04,0.04
-3.38640e-05,0.04,0.02
-3.38560e-05,0.04,0.06
-3.38480e-05,0.06,0.02
-3.38400e-05,0.02,0.04
-3.38320e-05,0.04,0.02
-3.38240e-05,0.04,0.06
-3.38160e-05,0.04,0.02
-3.38080e-05,0.04,0.06
-3.38000e-05,0.04,0.02
-3.37920e-05,0.04,0.04
-3.37840e-05,0.04,0.02
-3.37760e-05,0.04,0.06
-3.37680e-05,0.04,0.02
-3.37600e-05,0.04,0.06
-3.37520e-05,0.04,-3.33786e-08
-3.37440e-05,0.04,0.06
-3.37360e-05,0.04,-3.33786e-08
-3.37280e-05,0.06,0.06
-3.37200e-05,0.04,0.02
-3.37120e-05,0.02,0.06
-3.37040e-05,0.02,0.02
-3.36960e-05,0.04,0.04
-3.36880e-05,0.04,0.02
-3.36800e-05,0.06,0.06
-3.36720e-05,0.04,0.02
-3.36640e-05,0.06,0.06
-3.36560e-05,0.04,0.02
-3.36480e-05,0.02,0.06
-3.36400e-05,0.04,0.02
-3.36320e-05,0.04,0.06
-3.36240e-05,0.04,0.02
-3.36160e-05,0.06,0.06
-3.36080e-05,0.04,0.04
-3.36000e-05,0.04,0.06
-3.35920e-05,0.02,0.02
-3.35840e-05,0.04,0.04
-3.35760e-05,0.02,-3.33786e-08
-3.35680e-05,0.06,0.04
-3.35600e-05,0.02,-3.33786e-08
-3.35520e-05,0.04,0.06
-3.35440e-05,0.02,0.02
-3.35360e-05,0.04,0.06
-3.35280e-05,0.04,-3.33786e-08
-3.35200e-05,0.02,0.06
-3.35120e-05,0.04,-3.33786e-08
-3.35040e-05,0.06,0.08
-3.34960e-05,0.04,0.02
-3.34880e-05,0.04,0.06
-3.34800e-05,0.04,0.02
-3.34720e-05,0.04,0.06
-3.34640e-05,0.06,0.02
-3.34560e-05,0.04,0.08
-3.34480e-05,0.06,0.02
-3.34400e-05,0.04,0.06
-3.34320e-05,0.04,0.02
