TIME,CH1
-0.00135197,0.16
-0.00134378,0.08
-0.00134285,0.24
-0.00134224,0.08
-0.00134221,0.16
-0.00133958,0.08
-0.00133194,0.16
-0.0013319,0.08
-0.00133178,0.24
-0.00132742,0.08
-0.00132662,0.24
-0.00132272,0.08
-0.00132042,0.24
-0.00131123,0.08
-0.00131075,0.24
-0.00130282,0.08
-0.00129987,0.24
-0.00129325,0.08
-0.00129181,0.24
-0.00128333,0.08
-0.00128109,0.24
-0.00128102,0.08
-0.00128061,0.24
-0.00127898,0.08
-0.00127462,0.24
-0.00127091,0.08
-0.00126938,0.24
-0.00126765,0.08
-0.00126416,0.24
-0.00125635,0.08
-0.00125309,0.24
-0.00125194,0.08
-0.00125075,0.24
-0.00124554,0.08
-0.00124442,0.24
-0.00123446,0.08
-0.00123078,0.24
-0.00122592,0.08
-0.00122554,0.24
-0.00122272,0.08
-0.00121661,0.24
-0.00121613,0.08
-0.00121587,0.24
-0.00121523,0.08
-0.00121366,0.24
-0.001208,0.08
-0.00120797,0.24
-0.00120739,0.08
-0.00120698,0.24
-0.00120058,0.08
-0.00119622,0.24
-0.00119581,0.08
-0.00119293,0.24
-0.00118525,0.08
-0.00118422,0.24
-0.0011816,0.08
-0.00118147,0.24
-0.00117603,0.08
-0.00117587,0.24
-0.00117549,0.08
-0.00117472,0.24
-0.00117021,0.08
-0.00116966,0.24
-0.00116429,0.08
-0.00116294,0.24
-0.00116227,0.08
-0.00115936,0.24
-0.00115312,0.08
-0.0011503,0.24
-0.00114771,0.08
-0.00114768,0.16
-0.0011369,0.16
-0.00113686,0.08
-0.00113478,0.16
-0.00113475,0.08
-0.00113328,0.24
-0.00113101,0.08
-0.00112848,0.24
-0.00112496,0.08
-0.00112304,0.24
-0.00111696,0.08
-0.00111466,0.24
-0.00111376,0.08
-0.00111072,0.24
-0.00110848,0.08
-0.00110746,0.24
-0.00110067,0.08
-0.00109965,0.24
-0.00109834,0.08
-0.00109011,0.24
-0.00108816,0.08
-0.00108781,0.24
-0.00108182,0.08
-0.0010793,0.24
-0.00107894,0.08
-0.00107885,0.24
-0.0010737,0.08
-0.00107334,0.24
-0.00107043,0.08
-0.0010704,0.16
-0.00107021,0.08
-0.00107018,0.16
-0.0010673,0.08
-0.00106726,0.16
-0.00106698,0.08
-0.00106694,0.16
-0.00106595,0.08
-0.00106592,0.16
-0.00106307,0.08
-0.00106304,0.16
-0.00106016,0.08
-0.00105171,0.16
-0.00105168,0.08
-0.00105078,0.24
-0.00105018,0.08
-0.00104301,0.24
-0.00104202,0.08
-0.00103818,0.24
-0.00103741,0.08
-0.00103389,0.24
-0.00103197,0.08
-0.0010303,0.24
-0.00102938,0.08
-0.00102794,0.24
-0.00102387,0.08
-0.00102346,0.24
-0.00101651,0.08
-0.00101408,0.24
-0.00101331,0.08
-0.00100989,0.24
-0.00100733,0.08
-0.0010048,0.24
-0.0010016,0.08
-0.00100141,0.24
-0.00100138,0.08
-0.000997888,0.24
-0.000994816,0.08
-0.000989952,0.24
-0.000988384,0.08
-0.000985664,0.24
-0.000985632,0.08
-0.000984416,0.24
-0.00098208,0.08
-0.000977344,0.24
-0.000974144,0.08
-0.000972832,0.24
-0.000962368,0.08
-0.000961056,0.24
-0.000960224,0.08
-0.000959776,0.24
-0.000958912,0.08
-0.000952192,0.24
-0.000950816,0.08
-0.000948736,0.24
-0.0009472,0.08
