TIME,CH3
-3.4e-05,0.04
2.368e-06,3.32
2.604e-05,0.04
3.8728e-05,3.34
5.1824e-05,0.02
6.4416e-05,3.36
0.000104224,0.04
0.000116568,3.38
0.000130224,0.04
0.000142656,3.42
0.000182384,0.04
0.000194872,3.44
0.000206408,-0.06
0.000224544,0.16
0.000232624,-0.04
0.000247184,0.14
0.000260616,-0.06
0.000297016,0.12
0.000331696,-0.08
0.000340928,0.1
0.000357376,-0.04
0.000392848,0.12
0.00040244,-0.02
0.00041996,0.12
0.000429368,-0.02
0.00044352,0.1
0.000482608,-0.02
0.000489384,0.14
0.000501968,-0.02
0.00051292,0.08
0.000554952,-0.02
0.000566424,0.1
0.00057796,-0.02
0.000586776,0.08
0.000598528,-3.33786e-08
0.0006004,0.08
0.000600504,-3.33786e-08
0.000609824,0.08
0.000655768,-3.33786e-08
0.000667696,0.12
0.000701088,-0.04
0.000706616,0.08
0.000750944,-0.02
0.00075916,0.1
0.00077476,-0.02
0.000781544,0.08
0.000825008,-0.02
0.000833216,0.08
0.000877624,-0.02
0.000879656,0.08
0.00088244,-3.33786e-08
0.000915112,0.1
0.000917888,-3.33786e-08
0.000924784,0.08
0.000925176,-3.33786e-08
0.000931,0.08
0.000931008,-3.33786e-08
0.000931824,0.08
0.000939512,-3.33786e-08
0.000939672,0.08
0.000939688,-3.33786e-08
0.000955808,0.1
0.00096596,0.04
