TIME,CH2
-0.00135197,3.28
-0.00135024,3.28
-0.00135021,3.2
-0.00135014,3.28
-0.00135011,3.2
-0.00134902,3.36
-0.00134886,3.2
-0.00134816,3.36
-0.00134707,3.2
-0.00134704,3.28
-0.00134586,3.28
-0.00134582,3.36
-0.00134579,3.28
-0.00134528,3.36
-0.0013447,3.28
-0.00134467,3.36
-0.00134461,3.2
-0.00134451,3.36
-0.00134448,3.28
-0.00134438,3.36
-0.00134435,3.28
-0.00134416,3.36
-0.00134314,3.28
-0.0013431,3.36
-0.00134294,3.2
-0.00134291,3.28
-0.00134154,3.28
-0.0013415,3.2
-0.00134138,3.36
-0.00133952,3.2
-0.00133933,3.36
-0.0013393,3.28
-0.0013385,3.36
-0.00133846,3.28
-0.00133782,3.36
-0.00133728,3.28
-0.00133725,3.36
-0.00133722,3.2
-0.00133667,3.36
-0.00133664,3.28
-0.00133606,3.36
-0.00133603,3.28
-0.00133594,3.36
-0.0013359,3.28
-0.00133539,3.36
-0.00133485,3.28
-0.00133482,3.36
-0.00133424,3.2
-0.00133421,3.28
-0.00133286,3.28
-0.00133283,3.2
-0.00133136,3.36
-0.00133075,3.2
-0.00133021,3.36
-0.00133018,3.2
-0.00132973,3.36
-0.0013297,3.28
-0.0013273,3.28
-0.00132726,3.2
-0.00132723,3.28
-0.00132339,3.28
-0.00132336,3.36
-0.0013233,3.2
-0.00132326,3.28
-0.00132202,3.28
-0.00132198,3.2
-0.00132179,3.36
-0.00132176,3.28
-0.00132163,3.36
-0.0013216,3.28
-0.0013208,3.36
-0.00132016,3.28
-0.00132013,3.36
-0.00131914,3.2
-0.00131907,3.36
-0.00131904,3.2
-0.00131901,3.44
-0.00131894,3.2
-0.00131776,3.36
-0.00131702,3.2
-0.00131683,3.36
-0.0013168,3.28
-0.00131613,3.36
-0.0013161,3.28
-0.00131587,3.36
-0.00131584,3.28
-0.00131501,3.36
-0.00131498,3.28
-0.00131488,3.36
-0.00131485,3.28
-0.00131478,3.36
-0.00131475,3.28
-0.00131453,3.36
-0.0013145,3.28
-0.00131392,3.36
-0.00131389,3.28
-0.00131286,3.28
-0.00131283,3.36
-0.0013128,3.28
-0.00131155,3.28
-0.00131152,3.36
-0.00131069,3.28
-0.00131066,3.36
-0.00130947,3.2
-0.00130842,3.36
-0.00130838,3.28
-0.00130768,3.36
-0.00130765,3.28
-0.00130627,3.28
-0.00130624,3.2
-0.00130573,3.36
-0.0013057,3.28
-0.00130432,3.28
