TIME,CH3
-0.00135197,0.0799999
-0.00135155,0.16
-0.00135152,0.0799999
-0.00135136,0.16
-0.00135133,0.0799999
-0.00135114,0.16
-0.0013511,0.0799999
-0.00135091,0.16
-0.00135088,0.0799999
-0.00135078,0.16
-0.00131085,0.0799999
-0.00131082,0.16
-0.00131046,-1.33514e-07
-0.00130954,0.16
-0.0013033,-1.33514e-07
-0.00130304,0.16
-0.00130301,0.0799999
-0.00130291,0.16
-0.00130288,0.0799999
-0.00130221,0.16
-0.00130218,0.0799999
-0.00130198,0.16
-0.00130195,0.0799999
-0.00130173,0.16
-0.0013017,0.0799999
-0.00130166,0.16
-0.0013016,0.0799999
-0.00130128,0.16
-0.00130125,0.0799999
-0.00130106,0.16
-0.00130102,0.0799999
-0.00130086,0.16
-0.00130083,0.0799999
-0.0013007,0.16
-0.00130067,0.0799999
-0.00129965,0.16
-0.00129962,0.0799999
-0.00129955,0.16
-0.00129952,0.0799999
-0.00129946,0.16
-0.00129942,0.0799999
-0.00129933,0.16
-0.0012993,0.0799999
-0.0012992,0.16
-0.00129917,0.0799999
-0.00129901,0.16
-0.00129891,0.0799999
-0.00129888,0.16
-0.00129882,0.0799999
-0.0012984,0.16
-0.00129837,0.0799999
-0.00129744,0.16
-0.00129741,0.0799999
-0.00129738,0.16
-0.00129734,0.0799999
-0.00129728,0.16
-0.00129725,0.0799999
-0.0012967,0.16
-0.00129667,0.0799999
-0.00129638,0.16
-0.00129635,0.0799999
-0.00129632,0.16
-0.00129629,0.0799999
-0.00129622,0.16
-0.00129619,0.0799999
-0.00129613,0.16
-0.0012961,0.0799999
-0.00129606,0.16
-0.00129603,0.0799999
-0.0012959,0.16
-0.00129587,0.0799999
-0.00129581,0.16
-0.00129578,0.0799999
-0.00129574,0.16
-0.00129571,0.0799999
-0.00129533,0.16
-0.00129526,0.0799999
-0.0012952,0.16
-0.00129514,0.0799999
-0.00129491,0.16
-0.00129488,0.0799999
-0.00129485,0.16
-0.00129482,0.0799999
-0.00129472,0.16
